@RELATION GitHub Community Health

@ATTRIBUTE seconds_since_created numeric
@ATTRIBUTE seconds_since_updated numeric
@ATTRIBUTE seconds_since_pushed numeric
@ATTRIBUTE size numeric
@ATTRIBUTE stargazers_count numeric
@ATTRIBUTE watchers_count numeric
@ATTRIBUTE primary_language {"Rust","JavaScript","PowerShell","TypeScript","PHP","Go","Jsonnet","Haskell","Java","Python",null,"HTML","C++","C","Shell","Swift","Ruby","Racket","Bicep","C#","Mustache","R","Kotlin","Zeek","Jupyter Notebook","Makefile","Dart","Common Lisp","Pascal","Erlang","Perl","QML","Emacs Lisp","Vue","CSS","Vala","Nim","MLIR","Dockerfile","ColdFusion","Nix","Batchfile","SCSS","Julia","mcfunction","Clojure","Roff","TeX","Scala","Vim script","ABAP","Rich Text Format","Ada","MQL5","CMake","Elixir","Smalltalk","Lean","NewLisp","SMT","wdl","Brainfuck","Tcl","Lua","MATLAB","Assembly","PostScript","HLSL","HolyC","Verilog","Starlark","Groovy","DM","Objective-C","Mathematica","Fortran","Logos","ZenScript","HCL","Puppet","reStructuredText","Jinja","ActionScript","Smarty","Liquid","OCaml","BitBake","XSLT","Reason","Scheme","Elm","Open Policy Agent","Less","GLSL","V","D","WebAssembly","Sass","Haxe","SourcePawn","AutoHotkey","Objective-C++","Xojo","SystemVerilog","ReScript","GDScript","Crystal","Squirrel","Svelte","Solidity","Prolog","YARA","Coq","Bluespec","MAXScript","Blade","Haml","Hack","PLpgSQL","Ren'Py","F#","YAML","Fluent","Rascal","Pony","OpenSCAD","CoffeeScript","Dafny","AutoIt","Game Maker Language","Markdown","Zig","Boogie","CodeQL","Q#","Chapel","EJS","Visual Basic .NET","Cuda","FreeBasic","Kaitai Struct","Nunjucks","Isabelle","Apex","Raku","Dhall","Agda","PureBasic","Stylus","YASnippet","AngelScript","Standard ML","RMarkdown","JSON","Modula-2","Handlebars","LLVM","Tea","Pike","Smali","Twig","G-code","TSQL","Gherkin","F*","Mercury","Futhark","RAML","BASIC","Stata","Meson","VBA","SQF","SaltStack","Component Pascal","Idris","AppleScript","Papyrus","M4","ATS"}
@ATTRIBUTE has_issues {"y","n"}
@ATTRIBUTE has_projects {"y","n"}
@ATTRIBUTE has_downloads {"y","n"}
@ATTRIBUTE has_wiki {"y","n"}
@ATTRIBUTE has_pages {"y","n"}
@ATTRIBUTE forks_count numeric
@ATTRIBUTE open_issues_count numeric
@ATTRIBUTE license {"Non-standard","MIT","Unlicense","None","Apache-2.0","GPL-2.0","GPL-3.0","AGPL-3.0","BSD-2-Clause","CC0-1.0","LGPL-2.1","BSD-3-Clause","MPL-2.0","CC-BY-4.0","CC-BY-SA-4.0","ISC","WTFPL","Zlib","LGPL-3.0","BSL-1.0","UPL-1.0","EPL-2.0","BSD-3-Clause-Clear","LPPL-1.3c","EPL-1.0","MIT-0","Artistic-2.0","EUPL-1.2","0BSD","OSL-3.0","ECL-2.0","OFL-1.1","AFL-3.0"}
@ATTRIBUTE topics_count numeric
@ATTRIBUTE workflows_count numeric
@ATTRIBUTE readme_size numeric
@ATTRIBUTE has_code_of_conduct {"y","n"}
@ATTRIBUTE has_contributing {"y","n"}
@ATTRIBUTE has_support_file {"y","n"}
@ATTRIBUTE has_funding_file {"y","n"}
@ATTRIBUTE has_security_file {"y","n"}
@ATTRIBUTE has_codeowners {"y","n"}
@ATTRIBUTE has_changelog {"y","n"}
@ATTRIBUTE has_codespaces {"y","n"}
@ATTRIBUTE has_discussions {"y","n"}
@ATTRIBUTE uses_dependabot {"y","n"}
@ATTRIBUTE has_issue_template {"y","n"}
@ATTRIBUTE has_pull_request_template {"y","n"}
@ATTRIBUTE languages_count numeric
@ATTRIBUTE primary_language_ratio numeric
@ATTRIBUTE has_deployments {"y","n"}
@ATTRIBUTE environments_count numeric
@ATTRIBUTE has_releases {"y","n"}
@ATTRIBUTE labels_count numeric
@ATTRIBUTE milestones_count numeric
@ATTRIBUTE contributor_count numeric

@DATA
82904546,204033,204036,1627,18,18,"TypeScript","y","y","y","y","n",0,5,"MIT",0,1,997,"n","n","n","n","n","n","n","n","n","y","n","n",2,0.9957290883059526,"n",0,"y",9,0,1
223726023,204033,204036,914108,3533,3533,"C","n","n","y","n","n",1262,2,"Non-standard",3,4,3800,"n","y","n","n","n","n","n","n","n","n","n","n",19,0.9510138189412919,"n",0,"n",7,0,1
87390298,204033,204037,1094,61,61,"Shell","y","y","y","y","n",49,4,"None",0,0,429,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"n",8,0,1
15523547,204035,204038,788,12,12,"Python","y","y","y","y","y",6,1,"GPL-3.0",4,0,1335,"n","n","n","n","n","n","y","n","y","n","n","n",4,0.947766476884261,"y",1,"y",12,0,1
18886991,204035,204038,151866,17,17,"HTML","y","y","y","y","y",8,2,"Apache-2.0",0,3,1528,"n","n","n","n","n","n","n","n","n","n","n","n",2,0.6178475679816162,"y",1,"n",9,0,1
30866213,204035,204038,1354,16,16,?,"y","y","y","y","n",24,0,"None",0,1,1145,"n","n","n","n","n","n","n","n","n","n","n","n",0,?,"n",0,"n",9,0,1
194641674,204039,204042,18881,76,76,"Java","y","y","y","y","n",11,0,"GPL-3.0",0,0,1325,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"y",7,0,1
222434837,204042,204045,16768620,2778,2778,"Shell","n","y","y","y","n",772,113,"Apache-2.0",0,0,864,"n","n","n","n","n","n","n","n","n","n","n","y",1,1,"n",0,"n",7,0,1
108001311,204044,204048,9900,103,103,"Swift","y","n","y","y","y",47,53,"MIT",9,0,1890,"y","y","n","n","y","y","n","n","y","n","n","n",12,0.7602744773711749,"y",1,"y",262,22,1
109060715,204045,204048,394126,422,422,"JavaScript","y","y","y","y","y",31,218,"Apache-2.0",5,0,3996,"n","y","n","n","n","n","n","n","y","n","n","n",4,0.9974130737111699,"y",1,"n",28,1,1
144488377,204049,204052,1905,13,13,"JavaScript","y","y","y","n","y",2,0,"None",3,0,363,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"y",1,"n",7,0,1
158746559,204051,204053,10227,56,56,"Go","y","y","y","y","n",50,9,"Non-standard",6,0,3192,"n","y","n","n","n","n","y","n","n","n","n","y",4,0.9902925903084769,"n",0,"y",7,0,1
311832854,204050,204054,3920,30,30,"Shell","y","y","y","y","n",63,16,"None",0,0,3598,"n","n","n","n","n","n","n","n","n","n","n","n",3,0.9301961874641598,"n",0,"n",2,0,1
204095371,204050,204057,1320557,14445,14445,"HTML","y","y","n","n","n",2270,1087,"None",0,2,1568,"y","y","n","n","n","n","n","n","n","n","n","n",3,0.9956183448311734,"n",0,"n",147,15,64
44023459,204047,204058,24458034,4040,4040,"Python","y","n","y","n","n",2499,15,"None",4,1,442,"n","n","n","n","n","n","n","n","n","n","n","n",5,0.6643705914882982,"n",0,"n",16,0,1
212133127,204057,204019,2338,374,374,"Rust","y","y","y","n","n",138,7,"Non-standard",4,3,1155,"y","n","n","y","n","n","y","n","y","n","n","n",1,1,"y",1,"y",30,2,1
58268141,204057,204060,1786509,19,19,"HTML","n","n","y","n","y",6,0,"None",5,0,357,"n","n","n","n","n","n","n","n","n","n","n","n",2,0.8743978109222647,"y",1,"n",9,0,1
71044561,204058,204060,617,11,11,"TypeScript","y","y","y","n","n",8,0,"Apache-2.0",0,1,2542,"y","y","n","n","y","y","y","n","n","n","n","y",3,0.9323713849581253,"n",0,"y",67,0,1
88103135,204057,204061,8873,256,256,"TypeScript","y","y","y","y","y",69,192,"MIT",0,1,2697,"n","y","n","n","n","n","y","n","n","n","n","n",5,0.8987098606180584,"y",1,"y",13,0,1
160398666,204058,204061,276960,100,100,"Ruby","y","y","y","y","n",46,85,"Non-standard",4,4,2702,"n","y","n","n","n","y","n","n","y","y","n","y",7,0.8240307738939879,"y",5696,"y",85,313,1
189775606,204058,204061,94214,1415,1415,"PowerShell","y","y","y","y","n",1354,492,"Non-standard",0,0,949,"y","n","n","n","n","n","n","n","n","n","y","n",9,0.9313182054391131,"n",0,"n",30,2,1
102935277,204062,204065,15583,12,12,"Racket","y","y","y","y","n",1,0,"MIT",0,0,2939,"n","n","n","n","n","n","n","n","n","n","n","n",2,0.9693844316578004,"n",0,"n",8,0,1
96374821,204062,204065,1184,493,493,?,"y","y","y","y","n",271,6,"Apache-2.0",4,1,856,"y","y","n","n","y","n","n","n","n","n","n","y",0,?,"n",0,"n",113,0,1
107409275,204061,204065,174128,1726,1726,"Go","y","y","y","y","n",666,254,"Apache-2.0",1,4,2058,"y","y","n","n","y","n","n","n","y","n","n","y",6,0.968995397905541,"y",1,"y",131,25,1
138513869,204065,204068,172,327,327,"Go","y","y","y","y","n",31,2,"MIT",0,1,1072,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"n",7,0,1
16526945,204066,204069,204,12,12,"Shell","y","y","y","y","n",3,1,"MIT",3,0,6886,"n","n","n","n","n","n","n","n","n","n","n","n",2,0.5456255879586077,"n",0,"n",9,0,1
2282910,204068,204070,67,18,18,?,"y","y","y","y","n",3,0,"None",1,1,2587,"n","n","n","n","n","n","n","n","n","n","n","n",0,?,"n",0,"n",9,0,1
9119060,204072,204072,12575,464,464,"Rust","y","n","y","n","n",90,221,"Apache-2.0",0,8,1644,"y","y","n","n","n","n","y","n","n","n","n","y",3,0.991312659009898,"n",0,"n",18,0,1
40699919,204070,204073,247055,91,91,"Python","y","y","y","y","n",11,0,"AGPL-3.0",6,0,5759,"n","n","n","y","n","n","n","n","n","n","n","n",1,1,"y",1,"n",9,0,1
258491918,204072,204076,19023,401,401,"PHP","y","y","y","y","n",175,99,"AGPL-3.0",0,0,5765,"n","y","n","n","n","n","y","n","n","n","n","n",9,0.5234926569053253,"n",0,"y",16,8,1
113514141,204073,204077,657,24,24,"Java","y","y","y","y","n",9,1,"Non-standard",7,1,1487,"y","y","n","n","n","n","n","n","n","n","n","n",2,0.9957928344102126,"n",0,"n",9,0,1
235744222,204074,204077,10526,69,69,"Python","y","y","y","y","n",45,17,"Non-standard",0,0,678,"n","n","n","n","n","n","n","n","n","n","n","n",8,0.8756980153858781,"n",0,"y",6,0,1
157026022,204074,204078,25945,93,93,"C++","n","n","y","n","n",176,2,"Non-standard",0,0,356,"n","n","n","n","n","n","n","n","n","n","n","n",6,0.8286404746599382,"n",0,"n",9,0,1
146836961,204073,204078,187938,769,769,"PHP","n","n","y","n","n",859,401,"None",0,9,1687,"n","y","n","n","y","n","n","n","n","n","n","y",10,0.782660128827437,"n",0,"n",8,0,1
32183747,204075,204079,6313,215,215,"JavaScript","y","n","y","n","n",122,327,"GPL-3.0",9,6,2384,"y","y","n","n","n","y","n","n","y","n","n","y",3,0.7830526776407565,"n",0,"y",42,24,1
5843297,204076,204079,132136,27,27,"Shell","y","y","y","y","y",0,8,"None",0,4,1173,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"y",1,"n",10,0,1
70038927,204077,204080,2077,48,48,"JavaScript","y","y","y","y","n",46,19,"GPL-3.0",7,1,6369,"n","n","n","n","n","n","n","n","n","y","n","n",6,0.9346839727020846,"n",0,"n",13,0,1
43778072,204080,204083,13691273,286,286,"Python","y","y","y","y","n",74,65,"None",0,0,2118,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"n",9,0,1
232361025,204080,204084,285143,298,298,"C++","y","y","y","y","n",85,5,"MIT",7,0,1755,"y","y","n","n","n","n","n","n","y","n","n","n",9,0.8591759151015805,"y",0,"y",8,0,1
18824938,204084,204087,17014,14,14,"JavaScript","y","y","y","y","n",12,0,"MIT",1,1,612,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"y",2,"n",10,0,1
19756107,204087,204087,391968,29,29,?,"y","y","y","y","n",14,1,"Apache-2.0",7,0,1368,"n","n","n","n","n","n","n","n","n","n","n","n",0,?,"n",0,"n",10,0,1
13710655,204085,204088,18168,25,25,"Bicep","y","y","y","y","n",15,0,"None",0,0,549,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"n",9,0,1
166344643,204091,204096,448589,1100,1100,"Ruby","y","n","y","n","n",499,37,"BSD-2-Clause",5,5,294,"y","y","y","n","n","y","n","n","n","n","n","y",2,0.9999499158124348,"n",1,"n",47,0,1
102967578,204094,204097,893,12,12,"JavaScript","y","y","y","y","n",28,15,"Non-standard",0,2,7125,"n","y","n","n","n","n","n","n","n","n","n","n",6,0.2730682670667667,"n",0,"y",14,0,1
51216059,204094,204097,1005103,74,74,"Python","y","y","y","y","n",30,4,"None",3,0,1152,"n","n","n","n","n","n","n","n","n","n","n","n",4,0.7769401559353539,"n",0,"n",9,0,1
118265816,204097,204098,35917,43,43,"Go","y","n","y","n","n",7,16,"Apache-2.0",3,5,1044,"n","y","n","n","n","n","n","n","n","n","n","n",3,0.8670712422452593,"n",0,"y",9,1,1
57820800,204095,204098,2582,12,12,"PowerShell","y","y","y","y","n",2,2,"None",0,0,2056,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"n",9,0,1
43272656,204100,204103,1493149,94,94,"JavaScript","y","y","y","y","n",89,10,"None",17,0,2074,"n","n","n","n","n","n","y","n","n","n","n","n",1,1,"n",0,"n",10,0,1
198158221,204100,204103,89859,31,31,"C++","y","y","y","y","n",11,0,"Non-standard",0,0,1171,"n","n","n","n","n","n","n","n","n","n","n","n",7,0.9732509241542804,"n",0,"n",7,0,1
173575451,204102,204092,4663,35,35,"Go","y","y","y","n","n",26,30,"None",20,31,4747,"n","n","n","n","n","n","n","n","y","n","n","n",12,0.31041608551567157,"n",0,"n",9,0,1
93190372,204102,204105,42727,43,43,"C++","y","y","y","y","n",9,0,"MIT",9,0,533,"n","n","n","n","n","n","n","n","y","n","n","n",8,0.9183688805955891,"n",0,"n",8,0,1
105329241,204103,204106,100805,373,373,"Swift","y","y","y","y","y",24,11,"Apache-2.0",19,1,22433,"y","n","n","n","n","n","n","n","y","n","n","n",3,0.9929580494396413,"y",1,"y",10,0,1
112510714,204104,204108,1676,25,25,"JavaScript","y","y","y","y","n",13,0,"GPL-3.0",1,0,2833,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"y",9,0,1
106632821,204106,204109,5692,113,113,"Shell","y","y","y","y","y",33,14,"None",0,0,344,"n","n","n","y","n","n","n","n","n","n","n","n",5,0.5560217750946715,"y",1,"n",8,0,1
193647352,204105,204110,21420,5610,5610,"Shell","y","n","y","y","n",1855,367,"Non-standard",5,3,778,"n","y","n","y","n","n","n","n","y","n","n","n",11,0.6523622595930503,"n",0,"y",46,0,1
40824140,204108,204111,756874,26,26,"TypeScript","y","y","y","n","n",6,183,"MIT",3,20,2334,"y","y","n","n","n","n","n","n","y","n","n","n",10,0.6037921942596081,"n",0,"y",33,8,1
74069720,204108,204112,44358,1478,1478,"Go","y","y","y","y","n",152,63,"Apache-2.0",2,0,2601,"n","y","n","n","n","n","n","n","n","n","n","n",5,0.9562839798202725,"n",0,"y",11,0,1
126252848,204112,204114,6522,76,76,"TypeScript","y","y","y","y","n",84,43,"MIT",3,3,2857,"y","n","n","n","y","y","y","n","n","n","n","n",6,0.5025778224382133,"n",0,"n",35,37,1
89965589,204112,204115,959715,16,16,?,"y","y","y","y","n",9,0,"Non-standard",0,0,20456,"n","n","n","n","n","n","n","n","n","n","n","n",0,?,"n",0,"y",8,0,1
117714932,204109,204116,147784,5443,5443,"Rust","y","y","y","y","n",1594,766,"Non-standard",6,11,1012,"y","y","n","n","y","y","n","n","y","y","n","y",10,0.979577999268435,"n",0,"y",77,15,1
173393059,204111,204119,234902,4918,4918,"Java","n","y","y","n","n",3120,161,"Non-standard",8,5,3446,"y","n","n","n","n","n","n","n","n","n","n","y",19,0.7151115330613231,"n",0,"y",67,1,1
201453891,204115,204119,63080,45,45,"JavaScript","y","y","n","n","n",30,2,"BSD-2-Clause",4,1,1845,"n","n","n","n","n","n","n","n","n","n","n","n",3,0.7291179088998412,"n",0,"y",11,0,1
44274039,204118,204121,12293,91,91,"C++","y","y","y","y","n",53,18,"MIT",0,3,3227,"n","n","n","n","n","n","n","n","n","n","n","n",5,0.805138038203595,"n",0,"y",15,1,1
16732931,204118,204121,381,11,11,"C++","y","y","y","y","n",3,1,"AGPL-3.0",3,0,3714,"n","n","n","n","n","n","n","n","n","n","n","n",5,0.9923270228828162,"n",0,"y",9,0,1
217710619,204121,204124,655818,25,25,"C#","y","y","y","y","n",2,11,"MIT",19,1,957,"y","y","n","n","n","n","n","n","n","n","n","n",3,0.938604535076695,"n",0,"n",8,7,1
50910688,204124,204126,200581,95,95,"C#","y","y","y","y","y",23,49,"GPL-3.0",7,5,1476,"n","y","n","n","n","n","y","n","n","n","n","n",6,0.9631734146341463,"y",1,"n",19,5,1
85069650,204124,204128,25666,15,15,"Mustache","n","y","y","y","n",21,0,"Non-standard",4,0,2146,"n","n","n","n","n","n","n","n","n","n","n","n",2,0.7641376551149496,"n",0,"n",8,0,19
61454249,204128,204132,3597,17,17,"Java","y","n","y","n","n",28,7,"Apache-2.0",0,4,3358,"y","y","n","n","y","y","y","n","n","n","n","y",4,0.9940648122411906,"n",0,"y",165,0,1
102687261,204129,204134,363822,3602,3602,"Python","y","y","y","y","n",409,663,"Apache-2.0",10,0,3576,"y","y","n","n","n","n","n","y","y","n","n","y",13,0.7917629778840908,"y",2,"y",65,16,1
304578698,204128,204136,2497821,2475,2475,"C#","y","y","y","y","y",2818,1434,"MIT",6,0,2935,"y","y","y","n","y","y","n","y","n","n","n","y",10,0.9090641740981673,"y",1,"y",258,91,1
225908362,204133,204137,141983,12,12,"JavaScript","y","y","y","y","y",45,4,"None",0,0,625,"n","n","n","n","n","n","n","n","n","n","n","y",4,0.6345838056209492,"y",1,"n",32,0,1
226488860,204135,204138,32516,16,16,"R","y","y","y","y","n",7,0,"None",0,1,1184,"n","n","n","n","n","n","n","n","n","n","n","n",2,0.6738124175738925,"n",0,"y",7,0,1
8665076,204134,204139,5511,59,59,"JavaScript","y","y","y","y","n",24,0,"MIT",2,1,4313,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"n",9,0,1
184356174,204136,204140,18737,2803,2803,"C++","y","y","y","y","n",132,33,"Apache-2.0",0,0,2004,"n","n","n","n","n","n","n","n","n","n","n","n",11,0.5101215699740006,"n",0,"n",7,0,1
44599872,204143,204146,34912,19,19,"Python","y","y","y","y","n",7,1,"GPL-3.0",0,1,315,"n","n","n","n","n","n","n","n","n","n","n","n",1,1,"n",0,"n",9,0,1
123855794,204144,204148,1188424,856,856,"HTML","y","n","y","y","y",154,768,"Apache-2.0",0,1,1822,"n","n","n","n","n","n","n","n","n","n","n","n",6,0.5131445188718258,"y",1,"n",14,0,1
16527999,204144,204150,9134,1384,1384,"JavaScript","y","y","y","y","n",599,52,"None",5,1,28583,"n","y","n","n","n","n","n","n","n","n","n","n",1,1,"y",2,"y",9,0,1
255985264,204146,204150,8131,155,155,"C","y","y","y","y","n",20,3,"Non-standard",0,0,4012,"n","n","n","n","n","n","n","n","n","n","n","n",15,0.6021688336619765,"n",0,"n",6,0,1
196973836,204149,204152,253,12,12,"Kotlin","y","n","y","n","n",2,6,"MIT",4,2,645,"n","n","n","n","n","n","n","n","n","y","n","n",1,1,"n",0,"y",8,0,5
188560613,204145,204153,1199427,1460,1460,"Shell","n","y","y","n","n",1420,462,"None",6,0,0,"n","n","n","n","n","n","n","n","n","n","n","n",31,0.9789796250931802,"n",0,"n",23,4,1
83535758,204121,204154,10432,34163,34163,"Python","y","y","y","y","n",2413,1008,"MIT",20,8,6542,"n","y","n","y","y","n","n","n","y","n","n","n",5,0.9984156252797639,"y",3,"y",32,0,1
36983523,204154,204155,4439,199,199,"TypeScript","y","y","y","y","n",10,4,"MIT",7,2,3742,"y","y","n","n","n","n","y","n","n","n","n","n",3,0.9613619898575223,"n",0,"y",12,0,1
